Id,SalePrice
1461,125730.59127598585
1462,160668.97325322547
1463,174808.25227051755
1464,188963.38221873515
1465,195968.83212147525
1466,181837.17538477827
1467,171549.0824097
1468,168426.8723456646
1469,178749.5032046294
1470,122251.63433285964
1471,198181.36501089486
1472,91328.47137474504
1473,96659.42977364128
1474,154624.12708087495
1475,126337.2859153982
1476,393074.53807697026
1477,256661.6362636541
1478,302467.45930208534
1479,290718.2019232175
1480,463877.972508876
1481,330206.9492745375
1482,212916.9183560234
1483,174317.45861201696
1484,168469.68343401613
1485,170648.92707024302
1486,196939.81163864292
1487,394622.8540705787
1488,236481.94443330565
1489,208145.95263430086
1490,213060.73926722363
1491,193338.4651947883
1492,91353.34524473302
1493,186216.09805597452
1494,292668.92390051915
1495,289853.0518944552
1496,229707.7877805976
1497,192029.33369537868
1498,163922.05411538784
1499,159053.07450185626
1500,149730.77271393297
1501,160991.6363578423
1502,160244.92359011536
1503,302229.84684996994
1504,230486.4765176985
1505,220447.98749735305
1506,187812.61173847652
1507,244251.47250225858
1508,212899.26399223815
1509,161302.80167204834
1510,138150.68513761394
1511,138055.2859985644
1512,162487.4112782567
1513,153267.0421036769
1514,163980.04472991428
1515,193490.78145348607
1516,172359.06604966105
1517,154210.4184728077
1518,134854.69357823802
1519,217525.94578747294
1520,126189.8434876339
1521,134698.02206703147
1522,174134.9053076225
1523,108522.17987223815
1524,121401.0521972788
1525,123255.37987371668
1526,119235.21736988788
1527,111198.33259318731
1528,121316.41751648136
1529,144961.77779979818
1530,171515.66275777243
1531,120353.25599893401
1532,102684.03815859872
1533,148098.87724830292
1534,122215.62520310323
1535,151739.14868850255
1536,118020.47963249708
1537,80294.27384029962
1538,184426.62840736273
1539,213188.37620943115
1540,97398.47720137687
1541,138007.80419667743
1542,141858.29890057413
1543,214186.62745488188
1544,70706.15836236303
1545,103868.22956171395
1546,131784.4963742605
1547,134559.34645552345
1548,133973.39727065325
1549,118859.8019474068
1550,140724.45733316263
1551,113017.96280602002
1552,137877.04650618535
1553,160457.69751686917
1554,109570.73298308736
1555,171963.15775399123
1556,81569.71912643063
1557,102291.06348197618
1558,91246.79044163454
1559,97486.91749667283
1560,137466.47093934444
1561,138791.88334693474
1562,119063.50401401936
1563,111830.08832826087
1564,161728.82883647492
1565,137930.77132157254
1566,228068.8150699405
1567,77718.43694795045
1568,218031.98026382728
1569,143006.34330777885
1570,130621.66147777403
1571,132269.70043137166
1572,143210.58025533758
1573,272057.87535018416
1574,117624.86311419416
1575,213257.4594089758
1576,210913.59817182465
1577,205694.25201136855
1578,149504.87674681516
1579,139730.05785795042
1580,203551.6120729451
1581,147631.84879460052
1582,124632.56533623558
1583,331570.6523121783
1584,223615.4922113226
1585,137061.68719168578
1586,80212.07458288033
1587,96928.02378453608
1588,140740.8384028394
1589,100017.60534598208
1590,131003.35247456495
1591,94560.58104244557
1592,122338.01111589333
1593,131870.39121063147
1594,130694.1424741006
1595,103687.92667074791
1596,238392.68700094442
1597,169004.61676962418
1598,208020.40489219644
1599,194690.4791699191
1600,192366.83911578293
1601,82617.13414642951
1602,116545.88220643923
1603,102308.30788498762
1604,277195.708142734
1605,237257.66064332583
1606,174093.77560079703
1607,164266.3431319742
1608,219315.35732564746
1609,200134.7068397887
1610,148628.64415608754
1611,141602.18797404564
1612,171332.69131990118
1613,165285.46265209262
1614,123395.31275057877
1615,91256.2430011152
1616,74781.9954650791
1617,98759.7869153764
1618,118742.83556214989
1619,138042.0678195208
1620,155670.7114876395
1621,133963.99011047638
1622,135014.35663408204
1623,301340.747318262
1624,203188.69520001733
1625,125828.90589164509
1626,166454.61879090106
1627,190520.63813179056
1628,277121.24792381085
1629,184546.8243382361
1630,380778.168360419
1631,219865.34382553896
1632,245272.16079742758
1633,168231.83435280426
1634,180924.4927449595
1635,180977.08054922541
1636,166702.81651023307
1637,177683.04360674325
1638,210159.83184714528
1639,180055.9204497514
1640,245633.90511197713
1641,180082.3590535409
1642,218689.43525149743
1643,225158.2083831981
1644,225884.69803863933
1645,188197.02449612823
1646,156120.37474402392
1647,167894.5206592809
1648,130131.29749246719
1649,131771.79483969355
1650,111381.67177204146
1651,118888.80184177967
1652,89706.51164427467
1653,97255.848325906
1654,151091.3793647877
1655,156369.39855150055
1656,149027.5288171966
1657,152405.71444254994
1658,143170.39957433802
1659,135948.93813944844
1660,148956.7816668346
1661,446130.22486739245
1662,413584.9431145808
1663,402071.2246395955
1664,416504.9614526391
